41.60 ,83.54,380752
41.61 ,83.56,380754
41.46 ,83.32,380756
41.58 ,83.34,380758
41.53 ,83.30,380760
41.42 ,83.75,380762
41.40 ,83.32,380764
41.08 ,83.52,380765
41.17 ,83.77,380767
41.33 ,83.56,380769
41.65 ,83.70,380771
41.58 ,83.61,380773
41.32 ,83.48,380774
41.32 ,83.56,380776
41.30 ,83.79,380778
41.17 ,83.53,380780
41.65 ,83.36,380782
41.48 ,83.58,380783
41.30 ,83.33,380785
41.26 ,83.32,380787
41.07 ,83.45,380789
41.64 ,83.00,380791
41.51 ,83.03,380793
41.44 ,83.27,380794
41.41 ,83.51,380796
41.37 ,83.36,380798
41.43 ,83.32,380800
41.59 ,83.07,380801
41.20 ,83.31,380803
41.19 ,83.29,380805
41.80 ,82.98,380807
41.31 ,83.13,380809
41.69 ,83.27,380811
41.61 ,83.23,380813
41.74 ,83.14,380814
41.25 ,83.30,380816
41.18 ,83.15,380818
41.66 ,83.32,380820
41.38 ,83.26,380822
41.74 ,83.02,380823
41.45 ,82.68,380825
41.48 ,83.25,380827
41.49 ,83.15,380829
41.30 ,83.29,380831
41.53 ,83.40,380833
41.76 ,82.96,380834
41.26 ,83.36,380836
41.34 ,83.31,380838
41.71 ,83.36,380840
41.54 ,83.14,380842
41.12 ,83.26,380843
41.70 ,83.12,380845
41.83 ,82.58,380847
41.53 ,83.06,380849
41.55 ,83.21,380851
41.76 ,81.52,380852
41.40 ,82.69,380854
41.54 ,82.28,380856
41.63 ,82.92,380858
41.30 ,82.88,380860
41.49 ,83.09,380862
41.21 ,82.98,380864
41.31 ,82.91,380865
41.49 ,82.81,380867
41.42 ,83.40,380869
41.41 ,82.59,380871
41.61 ,82.48,380872
41.71 ,83.20,380874
41.16 ,83.22,380876
41.43 ,83.15,380878
41.54 ,82.96,380880
41.30 ,83.17,380882
41.30 ,83.28,380884
41.54 ,82.91,380885
41.70 ,83.11,380887
41.88 ,82.85,380889
41.49 ,83.37,380891
41.46 ,83.15,380893
41.81 ,83.12,380894
41.76 ,82.20,380896
41.14 ,83.30,380898
41.77 ,83.36,380900
41.54 ,83.20,380902
41.54 ,83.14,380903
41.64 ,83.51,380905
41.43 ,83.32,380907
41.53 ,83.35,380909
41.44 ,83.22,380911
41.52 ,83.27,380913
41.48 ,83.30,380914
41.21 ,83.39,380916
41.59 ,83.36,380918
41.42 ,83.47,380920
41.43 ,83.48,380922
41.37 ,83.37,380923
41.64 ,83.33,380925
41.53 ,83.45,380927
41.48 ,83.18,380929
41.36 ,83.12,380931
41.56 ,83.52,380933
41.50 ,83.28,380934
41.31 ,83.25,380936
41.64 ,83.23,380938
41.56 ,83.24,380940
41.58 ,83.28,380942
41.38 ,83.27,380943
41.35 ,83.32,380945
41.24 ,83.39,380947
41.54 ,83.36,380949
41.88 ,83.36,380951
41.52 ,83.49,380953
41.43 ,83.43,380955
41.42 ,83.52,380956
41.53 ,83.51,380958
41.71 ,83.53,380960
41.36 ,83.74,380962
40.95 ,83.61,380964
41.58 ,83.67,380965
41.30 ,83.68,380967
41.36 ,83.80,380969
41.46 ,83.66,380971
41.49 ,84.05,380972
41.53 ,83.52,380974
41.24 ,83.68,380976
41.26 ,83.60,380978
41.49 ,83.55,380980
41.38 ,83.50,380982
41.44 ,83.73,380984
41.49 ,83.49,380985
41.38 ,83.38,380987
41.82 ,83.47,380989
41.46 ,83.37,380991
41.44 ,83.51,380993
41.46 ,83.48,380994
41.62 ,83.58,380996
41.42 ,83.40,380998
41.36 ,83.62,381000
41.56 ,83.47,381002
41.52 ,83.43,381004
41.19 ,83.40,381005
41.19 ,83.46,381007
41.76 ,83.40,381009
41.60 ,83.36,381011
41.46 ,83.49,381013
41.20 ,83.47,381014
41.48 ,83.47,381016
41.37 ,83.48,381018
41.49 ,83.66,381020
41.41 ,83.27,381022
41.34 ,83.08,381023
41.42 ,83.41,381025
41.59 ,83.17,381027
41.37 ,83.20,381029
41.88 ,80.41,381031
41.63 ,83.26,381033
41.49 ,83.03,381034
41.32 ,83.26,381036
41.43 ,83.15,381038
41.40 ,82.22,381040
41.49 ,83.43,381042
41.52 ,82.98,381043
41.31 ,83.13,381045
41.56 ,82.95,381047
41.31 ,83.31,381049
41.70 ,82.77,381051
41.65 ,82.95,381053
41.30 ,83.29,381055
41.81 ,82.95,381056
41.38 ,82.98,381058
41.48 ,83.02,381060
41.60 ,82.96,381062
41.53 ,83.06,381063
41.54 ,83.37,381065
41.29 ,82.69,381067
41.73 ,82.44,381069
41.54 ,83.08,381071
41.26 ,82.59,381073
41.83 ,82.75,381075
41.68 ,82.97,381076
41.42 ,83.07,381078
41.60 ,83.09,381080
41.44 ,83.34,381082
41.52 ,82.65,381084
41.50 ,82.20,381085
41.42 ,82.09,381087
41.59 ,82.61,381089
41.60 ,83.09,381091
41.76 ,82.95,381093
41.81 ,82.88,381094
41.64 ,83.06,381096
41.64 ,83.16,381098
41.32 ,83.09,381100
41.60 ,82.40,381102
41.26 ,82.93,381104
41.58 ,82.71,381106
41.60 ,82.85,381107
41.59 ,83.07,381109
41.44 ,83.33,381111
41.48 ,82.72,381113
41.54 ,82.05,381114
41.30 ,83.23,381116
41.38 ,82.42,381118
41.52 ,83.15,381120
41.59 ,82.56,381122
41.57 ,82.58,381124
41.43 ,83.09,381126
41.59 ,83.12,381127
41.08 ,83.01,381129
41.54 ,83.08,381131
41.21 ,83.33,381133
41.61 ,83.05,381134
41.82 ,83.13,381136
41.73 ,83.23,381138
41.55 ,83.09,381140
41.44 ,83.27,381142
41.41 ,83.05,381144
41.65 ,82.62,381145
41.42 ,82.90,381147
41.36 ,83.12,381149
42.00 ,83.31,381151
41.55 ,83.26,381153
41.35 ,83.26,381155
41.41 ,83.49,381156
41.47 ,83.68,381158
41.13 ,83.86,381160
41.48 ,83.99,381162
41.38 ,83.89,381164
41.24 ,83.72,381165
41.53 ,83.86,381167
41.37 ,83.75,381169
41.63 ,84.05,381171
41.55 ,83.89,381173
41.46 ,83.61,381175
41.54 ,83.47,381176
41.14 ,83.47,381178
41.64 ,82.71,381180
41.58 ,82.83,381182
41.20 ,83.30,381183
41.64 ,82.94,381185
41.60 ,81.66,381187
41.58 ,82.59,381189
41.54 ,83.30,381191
41.65 ,83.13,381193
41.39 ,83.18,381195
41.50 ,83.39,381196
41.32 ,83.37,381198
41.88 ,83.30,381200
41.78 ,83.32,381202
41.54 ,82.85,381204
41.52 ,82.99,381205
41.43 ,83.15,381207
41.59 ,83.24,381209
41.76 ,82.95,381211
41.44 ,83.17,381213
41.31 ,83.25,381214
41.58 ,83.05,381216
41.40 ,83.31,381218
41.48 ,83.31,381220
41.70 ,82.27,381222
41.52 ,83.16,381224
41.39 ,83.17,381226
41.36 ,83.28,381227
41.59 ,83.30,381229
41.53 ,83.29,381231
41.60 ,83.15,381233
41.46 ,83.10,381234
41.48 ,83.48,381236
41.58 ,83.23,381238
41.57 ,83.21,381240
41.63 ,82.75,381242
41.37 ,83.24,381244
41.76 ,83.07,381246
41.20 ,83.14,381247
41.51 ,82.74,381249
41.65 ,82.85,381251
