tof_t1 , 78.28, tof_t2 , 191.80
tof_t1 , 78.31, tof_t2 , 192.19
tof_t1 , 78.30, tof_t2 , 192.66
tof_t1 , 78.30, tof_t2 , 191.48
tof_t1 , 78.34, tof_t2 , 191.49
tof_t1 , 78.28, tof_t2 , 190.58
tof_t1 , 78.29, tof_t2 , 190.94
tof_t1 , 78.34, tof_t2 , 191.03
tof_t1 , 78.34, tof_t2 , 191.68
tof_t1 , 78.34, tof_t2 , 190.56
tof_t1 , 78.37, tof_t2 , 190.48
tof_t1 , 78.35, tof_t2 , 190.44
tof_t1 , 78.35, tof_t2 , 190.22
tof_t1 , 78.42, tof_t2 , 190.48
tof_t1 , 78.38, tof_t2 , 189.95
tof_t1 , 78.38, tof_t2 , 190.55
tof_t1 , 78.39, tof_t2 , 189.83
tof_t1 , 78.31, tof_t2 , 189.70
tof_t1 , 78.31, tof_t2 , 190.02
tof_t1 , 78.42, tof_t2 , 190.58
tof_t1 , 78.40, tof_t2 , 188.83
tof_t1 , 78.39, tof_t2 , 189.67
tof_t1 , 78.37, tof_t2 , 189.79
tof_t1 , 78.39, tof_t2 , 190.01
tof_t1 , 78.53, tof_t2 , 188.75
tof_t1 , 78.43, tof_t2 , 189.39
tof_t1 , 78.41, tof_t2 , 188.38
tof_t1 , 78.41, tof_t2 , 189.04
tof_t1 , 78.44, tof_t2 , 188.47
tof_t1 , 78.43, tof_t2 , 188.46
tof_t1 , 78.41, tof_t2 , 188.80
tof_t1 , 78.43, tof_t2 , 189.20
tof_t1 , 78.43, tof_t2 , 188.80
tof_t1 , 78.45, tof_t2 , 189.00
tof_t1 , 78.47, tof_t2 , 188.47
tof_t1 , 78.45, tof_t2 , 188.09
tof_t1 , 78.43, tof_t2 , 188.76
tof_t1 , 78.43, tof_t2 , 188.80
tof_t1 , 78.46, tof_t2 , 188.89
tof_t1 , 78.45, tof_t2 , 188.46
tof_t1 , 78.38, tof_t2 , 188.12
tof_t1 , 78.48, tof_t2 , 188.68
tof_t1 , 78.52, tof_t2 , 187.73
tof_t1 , 78.47, tof_t2 , 188.48
tof_t1 , 78.56, tof_t2 , 187.91
tof_t1 , 78.54, tof_t2 , 187.82
tof_t1 , 78.52, tof_t2 , 186.93
tof_t1 , 78.50, tof_t2 , 187.96
tof_t1 , 78.55, tof_t2 , 187.90
tof_t1 , 78.54, tof_t2 , 187.15
tof_t1 , 78.58, tof_t2 , 187.50
tof_t1 , 78.49, tof_t2 , 187.03
tof_t1 , 78.57, tof_t2 , 187.43
tof_t1 , 78.71, tof_t2 , 187.30
tof_t1 , 78.54, tof_t2 , 187.88
tof_t1 , 78.55, tof_t2 , 186.98
tof_t1 , 78.53, tof_t2 , 186.51
tof_t1 , 78.58, tof_t2 , 186.75
tof_t1 , 78.51, tof_t2 , 187.24
tof_t1 , 78.57, tof_t2 , 187.25
tof_t1 , 78.51, tof_t2 , 186.97
tof_t1 , 78.52, tof_t2 , 187.44
tof_t1 , 78.59, tof_t2 , 186.78
tof_t1 , 78.51, tof_t2 , 187.03
tof_t1 , 78.60, tof_t2 , 186.65
tof_t1 , 78.49, tof_t2 , 186.94
tof_t1 , 78.55, tof_t2 , 187.16
tof_t1 , 78.61, tof_t2 , 187.00
tof_t1 , 78.55, tof_t2 , 186.86
tof_t1 , 78.56, tof_t2 , 187.24
tof_t1 , 78.66, tof_t2 , 186.11
tof_t1 , 78.53, tof_t2 , 186.53
tof_t1 , 78.53, tof_t2 , 186.66
tof_t1 , 78.53, tof_t2 , 186.49
tof_t1 , 78.42, tof_t2 , 186.26
tof_t1 , 78.51, tof_t2 , 186.12
tof_t1 , 78.54, tof_t2 , 185.67
tof_t1 , 78.58, tof_t2 , 186.26
tof_t1 , 78.59, tof_t2 , 186.15
tof_t1 , 78.50, tof_t2 , 186.71
tof_t1 , 78.59, tof_t2 , 187.78
tof_t1 , 78.50, tof_t2 , 188.08
tof_t1 , 78.57, tof_t2 , 187.66
tof_t1 , 78.51, tof_t2 , 188.60
tof_t1 , 78.50, tof_t2 , 188.57
tof_t1 , 78.42, tof_t2 , 188.50
tof_t1 , 78.54, tof_t2 , 187.63
tof_t1 , 78.44, tof_t2 , 188.47
tof_t1 , 78.44, tof_t2 , 188.68
tof_t1 , 78.52, tof_t2 , 188.40
